,Popular_cast,director_name,keywords,movie_genre,movie_id,overview,release_date,title
2115,['Al Pacino' 'Joe Pesci' 'Robert De Niro' 'Jesse Plemons' 'Harvey Keitel'],['Martin Scorsese'],"['philadelphia, pennsylvania' 'chicago, illinois' 'based on novel or book'
 'pennsylvania, usa' '1970s' 'irish-american' 'hitman' 'gangster'
 'male friendship' 'murder' 'family relationships' 'organized crime'
 'mafia' 'sicilian mafia' 'nonlinear timeline' 'labor union' '1950s'
 '1960s' 'mob family' 'jimmy hoffa' 'father daughter relationship'
 'criminal as protagonist' 'killer as protagonist']",['Crime' 'Drama' 'History'],398978.0,"Pennsylvania, 1956. Frank Sheeran, a war veteran of Irish origin who works as a truck driver, accidentally meets mobster Russell Bufalino. Once Frank becomes his trusted man, Bufalino sends him to Chicago with the task of helping Jimmy Hoffa, a powerful union leader related to organized crime, with whom Frank will maintain a close friendship for nearly twenty years.",2019-11-01,The Irishman
2116,['Clancy Brown' 'Julie Bowen' 'Diedrich Bader' 'Alan Dale' 'Kari Wahlgren'],['Stephen Sandoval' 'Tom Caulfield'],['marriage proposal' 'coronation' 'fairy tale' 'princess' 'hair'],['Adventure' 'Animation' 'Comedy' 'Family' 'Fantasy' 'TV Movie'],438747.0,"Rapunzel grapples with the responsibilities of being a princess and the overprotective ways of her father. While she wholeheartedly loves Eugene, Rapunzel does not share his immediate desire to get married and settle down within the castle walls. Determined to live life on her own terms, she and her tough-as-nails Lady-in-Waiting Cassandra embark on a secret adventure where they encounter mystical rocks that magically cause Rapunzel's long blonde hair to grow back. Impossible to break and difficult to hide, Rapunzel must learn to embrace her hair and all that it represents.",2017-03-10,Tangled: Before Ever After
2117,"['Antonio Banderas' 'Liam McIntyre' 'Ben Kingsley' 'Chad Lindberg'
 'Atanas Srebrev']",['Alain Desrochers'],['shopping mall' 'security guard' 'witness elimination'],['Action' 'Thriller' 'Crime'],460846.0,"An ex-special services veteran, down on his luck and desperate for work, takes a job as a security guard at a run-down mall in a rough area of town. On his first night on the job, he opens the door to a distraught and desperate young girl who has fled the hijacking of a Police motorcade that was transporting her to testify as a witness in a trial. Hot on her heels is the psychopathic hijacker and his team of henchmen, who will stop at nothing to extract and eliminate the witness.",2017-03-04,Security
2118,"['Victoria Justice' 'Britt Robertson' 'Halston Sage' ""Dylan O'Brien""
 'Molly C. Quinn']",['Jonathan Kasdan'],['virgin' 'high school' 'first love' 'awkwardness'],['Drama' 'Comedy' 'Romance'],84199.0,"Dave, a high school senior, spends most of his time pining away over a girl he can’t have. Aubrey, a junior with artistic aspirations, has a hot boyfriend who doesn’t quite understand her or seem to care. Although they go to different schools, Dave and Aubrey find themselves at the same party. When both head outside to get some air, they meet. A casual conversation sparks an instant connection, and, over the course of a weekend, things turn magical, romantic, complicated, and funny as Aubrey and Dave discover what it's like to fall in love for the first time.",2012-10-19,The First Time
2119,"['Jason Statham' 'Amy Smart' 'Noel Gugliemi' 'Samuel Witwer'
 'Francis Capra']",['Brian Taylor' 'Mark Neveldine'],"['poison' 'helicopter' 'assassin' 'hitman' 'adrenaline' 'fistfight'
 'swimming pool' 'revenge' 'shootout' 'motorcycle' 'drugs' 'cell phone'
 'pharmacy' 'defibrillation' 'hospital gown' 'emergency room'
 'aftercreditsstinger' 'sweatshop' 'run' 'epinephrine']",['Action' 'Thriller' 'Crime'],1948.0,"Chev Chelios, a hit man wanting to go straight, lets his latest target slip away. Then he awakes the next morning to a phone call that informs him he has been poisoned and has only an hour to live unless he keeps adrenaline coursing through his body while he searches for an antidote.",2006-08-31,Crank
2120,"['Nia Long' 'Patricia Arquette' 'Gabriel Byrne' 'Jonathan Pryce'
 'Ann Cusack']",['Rupert Wainwright'],['vatican' 'miracle' 'faith' 'clergyman' 'atheist'],['Horror' 'Thriller'],10307.0,"A young woman with no strong religious beliefs, Frankie Paige begins having strange and violent experiences, showing signs of the wounds that Jesus received when crucified. When the Vatican gets word of Frankie's situation, a high-ranking cardinal requests that the Rev. Andrew Kiernan investigate her case. Soon Kiernan realizes that very sinister forces are at work, and tries to rescue Frankie from the entity that is plaguing her.",1999-09-10,Stigmata
2121,"['J.K. Simmons' 'Ewen Bremner' 'Clemens Schick' 'Sylvia Hoeks'
 'Diarmaid Murtagh']",['Steven Quale'],['treasure' 'navy' 'serbia' 'mystery' 'u.s. navy seal'],['Thriller' 'Action'],335788.0,"In the midst of the Balkan wars, a squad of Navy SEALs attempts to unravel a long-forgotten mystery after discovering an enormous treasure trove hidden at the bottom of a lake in Serbia.",2017-08-21,Renegades
2122,"['Vivica A. Fox' 'Jordan Rodrigues' 'Cristine Prosperi' 'Sophie Vavasseur'
 'Joshua Daniel Eady']",['Robert Adetuyi'],['cheerleader' 'social media'],['Comedy' 'Romance'],467248.0,"When Destiny, captain of three-time national champions ""The Rebels,"" is challenged to a global cheer showdown by an edgy new team called ""The Truth,"" the Cheer Goddess organizes a virtual battle for squads from all around the world. It seems like the whole world wants to take down Destiny and her team, and they just might succeed, unless Destiny can rise to the challenge, set her ego aside and figure out who her real friends are.",2017-08-29,Bring It On: Worldwide #Cheersmack
2123,"['Amy Adams' 'Gary Oldman' 'Julianne Moore' 'Anthony Mackie'
 'Jennifer Jason Leigh']",['Joe Wright'],"['new york city' 'based on novel or book' 'wine' 'murder' 'neighbor'
 'agoraphobia' 'car accident' 'death' 'mental illness']",['Drama' 'Crime' 'Mystery' 'Thriller'],520663.0,An agoraphobic woman living alone in New York begins spying on her new neighbors only to witness a disturbing act of violence.,2021-05-14,The Woman in the Window
2124,"['Tuppence Middleton' 'Jennifer Ehle' 'Kit Harington' 'David Harewood'
 'Lara Pulver']",['Bharat Nalluri'],"['corruption' 'terrorist' 'explosive' 'kidnapping' 'police' 'flashback'
 'conspiracy' 'escape' 'one man army' 'massacre' 'sabotage'
 'innocent person killed' 'mi5' 'disobeying orders']",['Thriller' 'Action'],292040.0,"During a handover to the head of counter-terrorism of MI5, Harry Pearce, a terrorist escapes custody. When Harry disappears soon after, his protégé is tasked with finding out what happened as an impending attack on London looms, and eventually uncovers a deadly conspiracy.",2015-04-11,Spooks: The Greater Good
